,Outlet,Language,Tweet,Date,Reply,Reply_label
14,NOS,NL,VVD-Kamerlid De Neef stapt op om 'ijskoude aanpak' Ter Apel ,2022-09-01 04:56:01,  Heeft het VVD-mannetje eindelijk een reden om naar dat dierenpartijtje over te stappen.  Maar lees even het VVD programma over asiel: ,negative
15,NOS,NL,Bruls stelt kabinet deadline in asielcrisis: rijk is verantwoordelijk ,2022-07-19 08:39:49,  De onbenul Bruls.....  #nosjournaal #nieuwsuur       #jinek                  ,negative
16,NUnl,NL,Ook in landen om ons heen piept en kraakt de asielopvang ,2022-08-28 12:41:45,  Dat krijg je als een continent voortdurend iedereen ongeselecteerd/ongelimiteerd binnenlaat en niemand direct terugstuurt. Het logisch gevolg is een eindeloze lawine van migranten.,negative
17,NOS,NL,Minderjarige asielzoekers Stadskanaal kregen beschimmeld brood bij ontbijt ,2022-10-21 13:32:03,  Bewijs?,neutral
18,NUnl,NL,Gemeente Tubbergen 'boos' op kabinet om gedwongen opvang asielzoekers in hotel ,2022-08-17 14:41:23,  En gisteren waren ze nog de minst hufterige stad van Nederland.,neutral
19,NOS,NL,"Extra flexwoningen bouwen voor statushouders, gaat dat lukken? ",2022-08-30 18:00:25,"  Weet de NOS trouwens wat zunne gelukszoeker kost per dag? Er komen er te veul, VOL.",negative
20,NUnl,NL,Onderbezetting IND vertraagt gezinshereniging van duizenden asielzoekers ,2022-04-14 07:30:10,"  Deze vrouwen en kinderen leven al een jaar veilig in het land van herkomst, lijkt mij. Pa kan dus ook terug naar zijn gezin.",neutral
21,NUnl,NL,Ministerie verwacht dat volgend jaar meer vluchtelingen asiel aanvragen ,2022-10-24 12:47:15,  Geen probleem: geld en huizen zat hier. Volk schikt nog wel even in.,negative
22,NUnl,NL,Armoede onder migranten en vrouwen komt deels door discriminatie ,2022-10-06 13:16:31,"  krijgen we dat weer haha, als er 1 volk  niet gediscrimeerd worden is het wel de migranten.  wil weer even scoren op onzin en? gelukt. worden steeds gekker daar",negative
23,NOS,NL,VVD-fractie steunt spreidingswet asielzoekers ,2022-11-08 14:19:58,  Want   eist het.   Politiek #Nederland is in 2025 #GameOver en dan moet al die #destructie worden hersteld.  NU #NieuweVerkiezingen zou ons land 10 jaar ellende hebben bespaard.   is finito. WEF IS FINITO.,negative
24,NUnl,NL,Armoede onder migranten en vrouwen komt deels door discriminatie ,2022-10-07 00:25:48,  🤣🤣🤣🤣 Ja hoor .,negative
25,NUnl,NL,Adviesraad: Geef vluchtelingen met verblijfstatus voorrang bij huurwoningen ,2022-10-20 13:28:09,    😳,neutral
26,NOS,NL,Opnieuw te weinig bedden: 120 mensen slapen vannacht op een stoel in Ter Apel ,2022-05-30 21:04:58,  Gewoon de grenzen dicht!!! Probleem opgelost! T’is wat kort door de bocht maar wel de enige aanzet tot de oplossing.#deensmodel #grenzendicht #omvolking #woningnood #terapel #exitrutte4,neutral
27,NOS,NL,Asielzoeker vernielt auto's met slagboom bij Ter Apel ,2022-11-09 17:37:48,"  Dit soort zaken zien we continu, al vanaf de jaren ‘90 medewerkers worden bedreigd, omgeving wordt bedreigd, maar in A’dam vinden ze alles heel zielig. Verhuis maar naar de Rai zou ik zeggen. 🤨",negative
28,NUnl,NL,Nederlandse bevolking in 2022 flink gegroeid door immigratie ,2022-10-27 07:12:58,  Sluit de Fucking grenzen,negative
29,NOS,NL,Enkele honderden asielzoekers Ter Apel moeten buiten slapen ,2022-08-13 14:40:50,"  Prima weer. Bevalt het niet, retour.",neutral
30,NUnl,NL,Dinsdag spoedoverleg over opvang asielzoekers: deze week nog locaties nodig ,2022-07-19 16:22:11,  Stuur die rot krengen per direct terug naar land van herkomst en niks ‘spoedoverleg over opvang’ Eruit die ratten ! ,negative
31,NOS,NL,COA: eind dit jaar fors meer asielopvangplekken nodig ,2022-06-25 05:26:09,  Eind dit jaar nog meer linkse mensen uit dit land deporteren,negative
32,NUnl,NL,Kabinet wacht lang en zwaar debat over juridisch wankele asieldeal ,2022-09-08 06:12:31,"  De coalitie heeft door een truc (verkiezingen niet nodig) nog steeds de meerderheid in de Kamer. Hoe zwaar het debat ook lijkt, het kabinet Rutte blijft overeind.",neutral
33,NUnl,NL,Ministerie verwacht dat volgend jaar meer vluchtelingen asiel aanvragen ,2022-10-25 09:15:12,  Zitten geen echte vluchtelingen tussen.,neutral
34,NOS,NL,300 mensen sliepen buiten bij aanmeldcentrum Ter Apel ,2022-08-19 09:47:28,  Prima.,positive
35,NUnl,NL,Personeel opvanglocatie overlastgevende asielzoekers gebruikt onnodig geweld ,2022-10-13 16:12:07,"  ""Ze zagen dat er soms dwang en geweld wordt gebruikt, terwijl daar geen reden toe was"". Nederland, pamperen tot je dood erbij neervalt. Tijd voor een lesje van de Guardia Civil. Of overlastgevers loslaten bij woonomgeving journaille of politici.",negative
36,NOS,NL,Kabinet naarstig op zoek naar extra opvangplekken om Ter Apel te ontlasten ,2022-08-25 14:14:57,"  Nou laat 't kabinet #Rutte4   zich nou eens van hun goede kant laten zien, zij zijn tenslotte degenen die het veroorzaakt hebben. Allemaal minimaal 2 personen in huis nemen. Hup hup jullie kunnen dit. Goede voorbeeld 😏",neutral
37,NOS,NL,Vluchtelingenwerk en gemeenten: noodkreet over Ter Apel had eerder gemoeten ,2022-08-27 10:14:30,  Je moet gewoon een stop zetten en ze elders wegzetten. Wij zijn een van de kleinste landen van Europa. Wij zijn tevens ook het lachertje van Europa.,negative
38,NOS,NL,Vluchtelingenwerk: asielzoekers wanhopig door steeds langere wachtrij ,2022-06-20 20:40:57,  De Nederlandse Omvolkings Stichting met hun bijna uurlijkse portie huilie huilie over uitvreters nieuws.,negative
39,NUnl,NL,Meeste gemeenten met grote azc's ervaren geen overlast van asielzoekers ,2022-09-12 06:27:27,  ,neutral
40,NUnl,NL,Nederlandse bevolking in 2022 flink gegroeid door immigratie ,2022-10-27 15:48:28,"  Maar je mag het nog steeds geen omvolking noemen, he ",neutral
41,NUnl,NL,Afgelopen nacht sliepen 700 mensen buiten bij aanmeldcentrum Ter Apel ,2022-08-24 08:21:59,  Lekker knus!,negative
42,NOS,NL,Aanmeldcentrum Ter Apel weer vol: zeker 100 mensen slapen op stoelen ,2022-06-01 09:54:34,"  Als het bad overstroomt, begin je dan te dweilen of draai je de kraan dicht?",neutral
43,NOS,NL,'Weinig overlast in gemeenten met grote asielzoekerscentra' ,2022-09-12 06:55:02,"  Bericht van ""de Speld"" ? 🤣🤣",negative
44,NOS,NL,'Prognose ministerie: volgend jaar meer dan 50.000 asielzoekers' ,2022-10-24 09:35:32,"  Dat ze zich daar maar eens druk om maken, tenzij dit zeer gewenst is😡",negative
45,NOS,NL,"Frankrijk laat migrantenschip toe, en haalt uit naar Italië ",2022-11-11 09:18:15,  #welkom❤️,positive
46,NUnl,NL,Hoe passen driehonderd asielzoekers in een hotel met 28 kamers? ,2022-08-21 10:49:56,  Driehonderd mensen is eigenlijk helemaal niet zo veel.,neutral
47,NUnl,NL,Buitenslapers Ter Apel hebben pijn door 'verschrikkelijke kou' vannacht ,2022-08-29 08:58:48,  Als de regering niets aan de gasprijzen doet; heeft heel Nederland dit binnenkort...,neutral
48,NUnl,NL,Zo'n 250 asielzoekers sliepen vannacht buiten bij aanmeldcentrum Ter Apel ,2022-08-20 17:44:49,"  Wat is dit voor corona-achtig manier van dagelijkse updates? Ze vervangen ""besmettingen"" met buitenslapende asielzoekers. Wanneer geven jullie updates van NLse daklozen? Daarvan slapen er nog wat meer op straat...",negative
49,NUnl,NL,Recordaantal van 400 asielzoekers sliep afgelopen nacht buiten in Ter Apel ,2022-08-22 16:53:22,  Nou en ?,negative
