,Outlet,Language,Tweet,Date,Reply,Reply_label
29,repubblica,IT,"Soumahoro: “Stipendi più alti e cittadinanza per i figli, i migranti non sono schiavi”  ",2022-10-25 18:43:30,  A casa tutti bene?? ,neutral
30,repubblica,IT,"Migranti, l'Ong Sos Humanity presenta ricorso al Tar contro il decreto del governo ",2022-11-06 20:50:17,  PProprio un organizzazione oliata. Ma chi finanzia queste ONG ? Dove prendono i soldi ?,neutral
31,repubblica,IT,"Migranti, l'Ocean Viking chiede aiuto a Francia, Grecia e Spagna: ""Italia e Malta non rispondono""  ",2022-11-03 12:41:03,"  Era ora! Vediamo SE e COME rispondono questi Stati che NON hanno governi fascisti, post-fascisti o di destra-centro!",positive
32,fattoquotidiano,IT,"Migranti sulla Humanity, Soumahoro a Catania: “Vergogna, è uno sbarco selettivo. Si specula su donne e neonati, sono indignato e arrabbiato” ",2022-11-06 22:45:27,"  E quando i tuoi finti amici di sinistra ingrassavano le cooperative colluse con mafia, camorra e ndrangheta tu su quale cazzo di barca eri??? Troppo facile adesso no???",negative
33,fattoquotidiano,IT,"Salvini apre la campagna elettorale con i (soliti) cavalli di battaglia: spauracchio dell’immigrazione, madonne e immagini sacre ",2022-07-22 20:34:45,  Manca solo una foto del Mago do Nascimento,negative
34,repubblica,IT,"No a gay, migranti e aborto: le crociate dell’ultracattolico che sfilava con i neonazisti  (scopri la app) #RepSelezione",2022-10-15 22:34:10,"  Ma quando era vicepresidente della camera perché non rompevate il cazzo come state facendo adesso????? Non vi eravate accorti che era vicepresidente oppure si è razzisti, omofobi e sessisti solo quando si viene eletti presidente?",negative
35,repubblica,IT,"Decreto rave, Elly Schlein: ""Piantedosi ritiri la norma"". E sui migranti: ""La battaglia non si fa bloccando le persone in mare""  ",2022-11-03 09:28:34,"  L’Italia è piccola indebitata e povera.   L’Africa è grande, ricca e meno popolata.  Ora abbiamo la desertificazione. Ma cosa si fa con un’Italia desertificata?",neutral
36,repubblica,IT,"Catania, Schlein: ""Inumano e illegale: sbarco ora!"" ",2022-11-06 13:22:51,"  E assurdo uno Stato non può più controllare i suoi confini ,LE REGOLE  ?????",negative
37,repubblica,IT,"Migranti: tutti ""fragili"" sulla Geo Barents, sbarcheranno stasera ",2022-11-08 18:37:36,  E il carico residuale?,negative
38,repubblica,IT,Meloni incontra al-Sisi su energia e migranti ma dimentica Regeni  ,2022-11-08 17:28:32,"  Siccome dite solo CAZZATE, del vostro Regeni ne ha parlato eccome. Infati testate internazionali ne fanno parola. Ma siete giornalai al soldo di Soros e dell'Europa dunque inutile muovervi critiche.",negative
39,RaiNews,IT,"""Sui giornali ho letto titoli surreali. Non è dipesa dal governo la decisione dell'autorità sanitaria di far sbarcare tutti i #migranti presenti sulle navi ong. Scelta, quella dell'autorità sanitaria, che abbiamo trovato bizzarra"", ha detto Giorgia #Meloni ",2022-11-09 16:21:12,  Era meglio continuare a torturarli su per accrescere in consenso e rendere felici trogloditi fascistoidi che al loro posto frignerebbero anche per un'unghia incarnita,negative
40,Corriere,IT,"🔴 La Francia accusa l’Italia: «Comportamento inaccettabile, la Ocean Viking deve essere accolta da voi» ",2022-11-09 13:57:09,  Che ipocriti,negative
41,repubblica,IT,"Il ministro dell'Interno Piantedosi vuole bloccare 2 navi ong che questa notte hanno salvato 400 migranti: ""Non sono in linea con le norme"" ",2022-10-25 20:39:49,"  forse non sarà giusto,ma mi chiedo perché I porti sicuri sono sempre quelli italiani.",neutral
42,repubblica,IT,"Boldrini: ""Ho votato sì ma un errore l'invio di armi in Ucraina. Priorità ai rifugiati: vanno accolti senza fare differenze""  ",2022-03-18 11:46:42,  Speriamo che la Sig.ra Boldrini non sia d'accordo con gli imbecilli che a Taranto hanno lanciato sassi contro una nave della nostra Marina Militare altrimenti sarebbe grave e dovrebbe dimettersi.,negative
43,repubblica,IT,"No a gay, migranti e aborto: le crociate dell’ultracattolico che sfilava con i neonazisti  ",2022-10-15 15:20:40,  ,neutral
44,repubblica,IT,"Migranti, Humanity nel porto di Catania. Il Pd attacca: ""Scelte illegittime, violato diritto e umanità. Piantedosi brutta copia di Salvini: venga in Aula"" ",2022-11-06 22:06:18,  Osceno governo nessuno vuole omissione di soccorso,negative
45,Corriere,IT,Il canto struggente degli ucraini rifugiati nella metropolitana ,2022-10-11 05:03:45,  ,neutral
46,Corriere,IT,"Napoli, vigili urbani accerchiati e picchiati da decine di migranti ",2022-06-27 06:26:50,  Ringraziamo i partiti dei porti aperti,negative
47,repubblica,IT,"Insulti razzisti, pugni e calci contro un migrante accusato di essersi spogliato in pubblico  ",2022-09-24 21:35:06,  Sparate le ultime bordate❓️,negative
48,repubblica,IT,"Insulti razzisti, pugni e calci contro un migrante accusato di essersi spogliato in pubblico  ",2022-09-25 12:52:45,"  .. pochi ne ha presi, veramente pochi...😎",negative
49,fattoquotidiano,IT,"Mentre i turisti fanno in 7 ore il giro dell’isola, con tuffi in acque cristalline e scofanate di pesce, i migranti, distinti per età, sesso, stato di salute, verranno tradotti a gruppi sui Fiorini nel Centro di accoglienza  ",2022-09-03 16:01:32,  Quando sei digiuno da troppo devi inziare a mangiare poco alla volta.,neutral
