,Outlet,Language,Tweet,Date,Reply,Tweet_label
29,repubblica,IT,A destra scontro sull'immigrazione. Riproposte idee bocciate dai giudici.  ,2022-08-08 20:33:27,"  Non finiranno mai di farli arrivare, altrimenti finisce la mangiatoia!",negative
30,repubblica,IT,"Boldrini: ""Ho votato sì ma un errore l'invio di armi in Ucraina. Priorità ai rifugiati: vanno accolti senza fare differenze""  ",2022-03-19 17:00:17,  Sono d accordo con la Boldrini.,positive
31,repubblica,IT,"Catania: a bordo della Humanity restano 35 persone, sbarcati 144 migranti  ",2022-11-07 10:19:52,"  Se fanno come tanti falsi invalidi sbarcano? Che governo assurdo, checco zalone, un mediano di spinta c'è? I laureati dopo",neutral
32,RaiNews,IT,"La voce della #Cei contro gli ""#sbarchiselettivi"": ""Accogliere tutti, ogni Paese europeo sia coinvolto"" #Humanity1 #GeoBarents #migranti #FondazioneMigrantes  ",2022-11-07 10:08:41,  A quale democrazia? A quella che regna all'interno della Chiesa?,positive
33,fattoquotidiano,IT,"“Assassino, guerrafondaio”: il segretario contestato e insultato. I dem semi-clandestini sfilano in ordine sparso  ",2022-11-07 06:01:09,    È la verità Letta stato il primo politico a parlare di invasi e invasati.,negative
34,Corriere,IT,"Ong e migranti, la linea di Meloni: sono minacce ridicole. Francia e Germania non rispettano le intese ",2022-11-11 14:09:16,"  Brava Meloni! L'Italia sarebbe l'unico paese al mondo in cui lo Stato si sottomette a forza di ricatti e minacce, subisce ed è costretto ad accogliere clandestini preferibilmente senza documenti. Un paese in cui entrare illegalmente è legale, e chi si oppone rischia la galera!",negative
35,fattoquotidiano,IT,"Migranti, la diretta – Sbarco dalla Geo Barents: a bordo restano in 217. Musumeci: “La loro bandiera è tedesca, si rivolgano a Berlino” ",2022-11-07 13:27:44,"  Così Berlino sull'Italia:i debiti li hanno fatti loro, che li paghino allora. E noi che si fa?",neutral
36,RaiNews,IT,"""Sui giornali ho letto titoli surreali. Non è dipesa dal governo la decisione dell'autorità sanitaria di far sbarcare tutti i #migranti presenti sulle navi ong. Scelta, quella dell'autorità sanitaria, che abbiamo trovato bizzarra"", ha detto Giorgia #Meloni ",2022-11-09 19:57:36,  Escremento fascista,negative
37,fattoquotidiano,IT,Il no dell’Italia allo sbarco viola le regole? No: ecco perché ,2022-11-08 06:46:42,"  Quello che non si vuole o non si può capire perché privi di raziocinio è che se non si permette più alle navi Ong di salvare naufraghi in mare,tutta la responsabilità ricadrà sulla nostra marina e sui ragazzi che già ora lavorano allo stremo.",neutral
38,repubblica,IT,"Catania, Schlein: ""Inumano e illegale: sbarco ora!"" ",2022-11-09 14:44:49,"  Ricordo. I  soli  affffricani  sono 1,6  milliardi   Si facciano  sbarcare  e poi si  affondino  le  navi.",negative
39,Tg3web,IT,"Ci sono quasi mille persone in mare, bloccate da giorni su tre navi umanitarie. Il Ministero degli Interni ha vietato alle imbarcazioni di Medici Senza Frontiere, Sos Mediterranee e Sos Humanity l'ingresso nella acque italiane, chiedendo di portare i migranti negli Stati bandiera ",2022-11-03 21:49:55,  4hhcc,neutral
40,Corriere,IT,La nave Geo Barents è a Catania: a bordo 572 migranti. Il capitano di Humanity non lascia il porto ,2022-11-08 20:05:00,  Rimpatriamo tutti e poi affondate la nave,neutral
41,repubblica,IT,"Nell’asilo degli ultrà No Vax: ""Bambini, il Covid non esiste""  ",2022-02-06 16:41:24,  I NUMERI DI CRISANTI  E QUELLI DELL'ISS   QUALCUNO INDAGA PER FALSO O  PROCURATO  ALLARME  O palamariamo come con i morti di morbillo inventati di Londra   Tra una dose e l'altra obligata o mazziata  6.2.22 vv,negative
42,fattoquotidiano,IT,"“Carico residuale”, le parole usate da Piantedosi per i migranti che hanno indignato politica e associazioni: “Sono esseri umani, non merce” ",2022-11-09 10:38:43,"  12 milioni di italiani non vogliono neanche sentire pronunciare la parola 'clandestini' . Sono forse  tutti razzistj come dice Saviano? No, molti hanno subito reati e gli altri sono terrorizzati dalla possibilita' di restarne vittime.  I sinistri su questo tema hanno perso",negative
43,repubblica,IT,"Ue, Meloni: ""Italia vuole difendere interesse nazionale. Sui migranti ho trovato orecchie disponibili"" ",2022-11-04 09:19:13,"                 #Meloni è una falsa madre cristiana  perché tratta i #migranti, anche bambini, come merde. Ma tutto si paga  questo mondo.",positive
44,repubblica,IT,"Macron accoglie Ocean Viking: ""Ma dall'Italia atti accettabili""  ",2022-11-10 19:14:39,  La Francia che da lezioni sui migranti all'Italia. Manca la Corea che dia lezioni di democrazia.,positive
45,repubblica,IT,"L'accusa farlocca di Salvini: ""A Lampedusa i migranti hanno rubato le barche"". Ma non è vero  ",2022-09-18 14:17:03,  Si remavano sulla terraferma,negative
46,RaiNews,IT,"L'emergenza, è cominciata a mezzanotte quando 4 tunisini, fra cui una donna, sono approdati  a Cala Pisana con un gommone di 2 metri #migranti  ",2022-07-24 16:42:55,"  ""L'emergenza è cominciata.."" è da mo' ch'è cominciata l'invasione dei clandestini. Poi quando saremo saturi veniamo ad alloggiare nei vostri palazzi politici.",negative
47,fattoquotidiano,IT,L’ex premier torna in Senato per cancellare la Spazzacorrotti. La squadra: Letizia alla Sanità e il generale con Salvini all’Immigrazione ,2022-08-11 12:37:48,  NONE !,neutral
48,RaiNews,IT,È approdato a Lampedusa un barcone con 280 migranti. Arrivano dal Bangladesh e dall'Egitto ,2022-01-25 12:20:24,  Meno male che sono arrivati.Altrimenti chi rimpiazza quelli che ha fatto arrestare Brumotti.,neutral
49,repubblica,IT,Le storie dei migranti di Catania: la disperazione del pachistano Shimar e la speranza per la piccola Sama  ,2022-11-08 07:41:38,  ,neutral
